name,gender,City,State,Age,charges
anjali sangwar,f,Sirsa,Haryana,25,"Sexual offences against children (POSCO Act), Cruelty by husband or relatives (Sec 498A), Dowry death (Sec 304B)"
vinita,f,Ramagundam,Telangana,67,"Money laundering, Driving without a license"
smt saroj,f,Talcher,Odisha,43,"Abetment of suicide (Sec 306), Bigamy (Sec 494)"
nanu,f,Aligarh,Uttar Pradesh,60,"Environmental violations (EPA), Land encroachment"
mohd asif,m,Dispur,Assam,54,"Atrocities against SC/ST (SC/ST Act), Cruelty by husband or relatives (Sec 498A), Kidnapping (Sec 363–369)"
manisha,f,Tirunelveli,Tamil Nadu ,67,Unlawful activities (UAPA)
radha,f,Brahmapur,Odisha,36,"Forgery (Sec 463), Money laundering (PMLA), Environmental violations (EPA)"
simran,f,Abohar,Punjab,79,Cruelty by husband or relatives (Sec 498A)
avinash,m,Hospet,Karnataka,54,"Assault (Sec 351), Overspeeding"
minaxi,f,Shimla,Himachal Pradesh,35,"Pollution Control Board violations, Abetment of suicide (Sec 306)"
pooja,f,Bidar,Karnataka,73,"Cruelty by husband or relatives (Sec 498A), Criminal breach of trust (Sec 405)"
yashika,f,Gwalior,Madhya Pradesh,52,"Abetment of suicide (Sec 306), Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Counterfeiting currency (Sec 489A)"
manisha_1.0,f,Dindigul,Tamil Nadu ,76,Attempt to murder (Sec 307)
govinda,m,Panchkula,Haryana,46,"Criminal contempt, Money laundering, Land encroachment"
ravi,m,Lucknow,Uttar Pradesh,22,Criminal contempt
manjeet,m,Saharanpur,Uttar Pradesh,61,Overspeeding
ranjeet singh,m,Tirupati,Andhra Pradesh,58,Property disputes
gaurav,m,Alipurduar,West Bengal,55,Assault (Sec 351)
laxmi,f,Hisar,Haryana,61,"Online harassment, Environmental violations (EPA), Forgery (Sec 463)"
asana,f,Brajrajnagar,Odisha,44,Fraud
kumari mamta,f,Rajahmundry,Andhra Pradesh,76,"Consumer complaints, Adultery (Sec 497 now decriminalized), Cyber stalking"
manish kumar,m,Tuticorin,Tamil Nadu ,70,"Drunk driving, Driving without a license"
rohit,m,Sangli,Maharashtra,42,"Dowry death (Sec 304B), Theft (Sec 378)"
mohd.amir,m,Krishnapuram,Tamil Nadu ,75,"Online harassment, Counterfeiting currency (Sec 489A), Dacoity (Sec 395)"
manvi,f,Itanagar,Arunachal Pradesh,66,Attempt to murder (Sec 307)
,f,Talcher,Odisha,80,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Forgery (Sec 463), Civil contempt"
sunil garg,m,Saugor,Madhya Pradesh,69,"Unlawful activities (UAPA), Dowry death (Sec 304B), Assault (Sec 351)"
priya kumari,f,Haldia,West Bengal,46,Counterfeiting currency (Sec 489A)
vaishali,f,Talcher,Odisha,40,"Fraud, Cruelty by husband or relatives (Sec 498A), Culpable homicide (Sec 304)"
sushama,f,Talcher,Odisha,29,Bigamy (Sec 494)
lal baano,f,Valparai,Tamil Nadu ,68,"Abetment of suicide (Sec 306), Unlawful activities (UAPA), Kidnapping (Sec 363–369)"
ashutosh seth,m,Silvassa,Dadra and Nagar Haveli,54,"Forgery (Sec 463), Attempt to murder (Sec 307), Driving without a license"
subodh,m,Rohtak,Haryana,26,Property disputes
pooja_1.0,f,Rohtak,Haryana,38,Environmental violations (EPA)
sudhir m.no.-8295508258.,m,Bhagalpur,Bihar,47,"Civil contempt, Criminal breach of trust (Sec 405)"
pooja_2.0,f,Bareilly,Uttar Pradesh,66,Atrocities against SC/ST (SC/ST Act)
lalit kumar,m,Kolkata ,West Bengal,50,"Drunk driving, Online harassment"
himanshu,m,Kolar,Karnataka,71,"Murder (Sec 302), Robbery (Sec 392)"
firoj,f,Rampura,Rajasthan,62,"Pollution Control Board violations, Forgery (Sec 463), Kidnapping (Sec 363–369)"
p. subramani,f,Cuddalore,Tamil Nadu ,46,Dacoity (Sec 395)
seeta behen,f,Guwahati,Assam,50,"Rape (Sec 376), Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
santoshi kumari,f,Parbhani,Maharashtra,43,Pollution Control Board violations
md naseem,m,Puri,Odisha,73,Robbery (Sec 392)
smt rina,f,DehraDun,Uttarakhand,24,"Counterfeiting currency (Sec 489A), Driving without a license"
soni,f,Krishnapuram,Tamil Nadu ,76,"Sexual offences against children (POSCO Act), Extortion (Sec 383), Rape (Sec 376)"
